Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,numberofinvestors
2017-08-01,touchkin,technology,predictivecareplatform,bangalore,Kae Capital,privateequity,1300000,1
2017-08-02,ethinos,technology,digitalmarketingagency,mumbai,Triton Investment Advisors,privateequity,12031073,1
2017-08-02,leverageedu,consumerinternet,onlineplatformforhighereducationservices,newdelhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",seedfunding,12031073,7
2017-08-02,zepo,consumerinternet,diyecommerceplatform,mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",seedfunding,500000,4
2017-08-02,click2clinic,consumerinternet,healthcareserviceaggregator,hyderabad,"Narottam Thudi, Shireesh Palle",seedfunding,850000,2
2017-07-01,billionloans,consumerinternet,peertopeerlendingplatform,bangalore,Reliance Corporate Advisory Services Ltd,seedfunding,1000000,1
2017-07-03,ecolibriumenergy,technology,energymanagementsolutionsprovider,ahmedabad,"Infuse Ventures, JLL",privateequity,2600000,2
2017-07-04,droom,ecommerce,onlinemarketplaceforautomobiles,gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",privateequity,20000000,2
2017-07-05,jumbotail,ecommerce,onlinemarketplaceforfoodandgrocery,bangalore,"Kalaari Capital, Nexus India Capital Advisors",privateequity,8500000,2
2017-07-05,moglix,ecommerce,b2bmarketplaceforindustrialproducts,noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",privateequity,12000000,6
2017-07-05,timesaverz,consumerinternet,hyperlocalhomeservicesprovider,mumbai,BCCL,privateequity,1000000,1
2017-07-06,minjar,technology,cloudsolutionsprovider,bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",seedfunding,12031073,7
2017-07-06,mycity4kids,consumerinternet,parentingblogandkids’eventsdiscoveryplatform,gurgaon,None,seedfunding,12031073,-1
2017-07-07,clipapp,consumerinternet,digitalmediavideoplatform,bangalore,"India Quotient, Shunwei Capital",seedfunding,1000000,2
2017-07-07,upwardly.in,consumerinternet,mfinvestmentplatform,bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",seedfunding,12031073,4
2017-07-10,autorox.co,technology,workshopmanagementsoftwareplatform,hyderabad,Mitsui & Co.,privateequity,3000000,1
2017-07-11,fabogo,consumerinternet,salon&spaaggregation&discoveryplatform,pune,Dunamis Ventures Pte Ltd,privateequity,2250000,1
2017-07-11,flickstree,consumerinternet,videocontentdiscoveryplatform,mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",seedfunding,464000,4
2017-07-11,designcafe,consumerinternet,onlineinteriordesignplatform,bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",seedfunding,12031073,4
2017-07-12,innoviti,technology,digitalpaymentssolutions,bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",privateequity,18500000,3
2017-07-12,vdeliver,logistics,doorstepdeliveryplatform,hyderabad,"Corvus Ventures, MAPE Advisory Group",privateequity,12031073,2
2017-07-12,bottr.me,technology,chatbotcreationtool,bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",seedfunding,12031073,4
2017-07-12,arcatron,technology,nextgenmobilitydevicemanufacturer,pune,Indian Angel Network,seedfunding,12031073,1
2017-07-14,qwikspec,technology,constructionsiteoperationsandanalyticsplatform,bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",seedfunding,540000,5
2017-07-14,chumbak,ecommerce,designerconsumerproductsmarketplace,bangalore,Blacksoil Capital Pvt. Ltd,privateequity,1700000,1
2017-07-17,increff,technology,salessolutionsforfashionbrands,bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",seedfunding,2000000,5
2017-07-17,yana,technology,enterprisebankingsolutions,pune,"IDG Ventures India Advisors, Jungle Ventures",privateequity,4000000,2
2017-07-18,mobiquest,technology,mobileservices&solutions,noida,One97 Communication Ltd,privateequity,12031073,1
2017-07-18,ambee,consumerinternet,ambulanceaggregationservices,hyderabad,"Uber Technologies Inc, Amaya Capital LLP",seedfunding,12031073,2
2017-07-18,idealinsurance,consumerinternet,onlineinsuranceplatform,kolkata,Xelpmoc,seedfunding,12031073,1
2017-07-18,hypernovainteractive,technology,mobilegamescreator,bangalore,Kae Capital,seedfunding,12031073,1
